Wavelength [$\mu$m],Venus,Earth,Mars,Jupiter,Saturn,Uranus,Neptune
0.5336211,0.596909,0.19005495,0.1345302,0.5273737,0.46821055,0.5418894,0.47576842
0.5353297,0.5979916,0.18983892,0.13620277,0.52606755,0.46816486,0.509979,0.4397817
0.53703827,0.5990262,0.18852852,0.13826838,0.52321696,0.46661693,0.45373115,0.38057384
0.5387469,0.60004437,0.18839888,0.1399495,0.52160704,0.46645394,0.40570968,0.33360344
0.54045546,0.60073626,0.18660147,0.1416817,0.5157089,0.46271983,0.35998124,0.2921476
0.5421641,0.6016809,0.18579306,0.1439609,0.50594366,0.45375645,0.30226678,0.24488726
0.54387265,0.6026036,0.18598533,0.14585131,0.50941736,0.45746714,0.30218422,0.24380758
0.5455813,0.6035973,0.18592614,0.14774303,0.52403456,0.47449714,0.39832357,0.32543114
0.54728985,0.60450464,0.1840114,0.15004133,0.5330102,0.48477757,0.5204456,0.45259053
0.5489985,0.60643697,0.18358694,0.15193844,0.53460675,0.48815113,0.6012126,0.5359638
0.5507071,0.60772336,0.18351758,0.15383077,0.5257304,0.48682326,0.6192768,0.5544768
0.55241567,0.6085474,0.18291411,0.15619391,0.52726865,0.48958826,0.6143706,0.5494843
0.5541243,0.60934365,0.18147582,0.15809491,0.5337175,0.49262428,0.5963464,0.52902895
0.55583286,0.61012423,0.18062209,0.15999365,0.5383657,0.4961493,0.58083564,0.51162803
0.5575415,0.6108847,0.17943294,0.16198766,0.54189515,0.4993537,0.583722,0.51379275
0.55925006,0.6116311,0.17822626,0.1642908,0.54666257,0.5045375,0.5970746,0.5256623
0.5609587,0.6123784,0.17726097,0.16630644,0.5469463,0.50584465,0.5961753,0.52541333
0.56266725,0.61313283,0.17602588,0.16841431,0.5481668,0.50813407,0.59546673,0.52143174
0.5643759,0.61389256,0.17485818,0.17100053,0.5483853,0.50970346,0.58237743,0.5062136
0.5660845,0.614555,0.17381024,0.17311549,0.54645926,0.5098015,0.55553466,0.47456563
0.56671786,0.6147052,0.17316526,0.17389518,0.5478,0.51153845,0.54017365,0.45881203
0.56883,0.6149778,0.16868027,0.1770122,0.5432375,0.5112225,0.50610256,0.4221401
0.57094216,0.61681104,0.16927607,0.17962983,0.54449093,0.51183313,0.47614935,0.39088073
0.57305425,0.6170662,0.16924241,0.18225142,0.54185504,0.5118093,0.43856075,0.35265225
0.5751664,0.6177479,0.1694816,0.18541832,0.53919244,0.50958407,0.39165455,0.30722094
0.57727855,0.6188823,0.17029041,0.18808277,0.5411018,0.51357853,0.3953107,0.3109714
0.5793907,0.6195001,0.17103,0.19132364,0.546,0.520629,0.44068792,0.35559258
0.58150285,0.6199101,0.17131834,0.19450857,0.54872715,0.52608144,0.51741284,0.4342643
0.58361495,0.6204082,0.17135523,0.19724442,0.54872245,0.5290299,0.56552833,0.48394328
0.5857271,0.6204215,0.1712007,0.19998413,0.5484141,0.5316224,0.59000367,0.5096083
0.58783925,0.6175582,0.16656785,0.20352186,0.5451411,0.5338365,0.58800095,0.5068822
0.5899514,0.6157019,0.16142505,0.20625538,0.5484149,0.5388689,0.5592748,0.475083
0.59206355,0.6174201,0.1619309,0.20898755,0.54522055,0.5383458,0.50258887,0.4138524
0.5941757,0.6180055,0.16220148,0.21176647,0.54326534,0.5360486,0.44259188,0.35174048
0.5962878,0.61890936,0.16470414,0.215422,0.5425597,0.5341842,0.40501234,0.31508788
0.59839994,0.62010604,0.16593248,0.2181705,0.5433998,0.5370001,0.4170996,0.3272996
0.6005121,0.62134075,0.16681528,0.22087955,0.5465082,0.54328793,0.45026505,0.3605409
0.60262424,0.62266064,0.16515732,0.22573358,0.54495305,0.54466367,0.49489993,0.4074408
0.6047364,0.6233593,0.16532587,0.23025556,0.5475388,0.54822505,0.5005471,0.4124266
0.6068485,0.62417465,0.16560635,0.23221423,0.54233927,0.54426366,0.4396612,0.34891874
0.6089606,0.62455463,0.166005,0.23416696,0.5422008,0.5411221,0.37403455,0.28503615
0.6110728,0.6247727,0.16674903,0.2355724,0.53970903,0.5383316,0.33733058,0.25059897
0.6131849,0.62489384,0.16781075,0.23628113,0.5186298,0.51261646,0.23862131,0.1754538
0.6152971,0.6249787,0.16861306,0.23782922,0.4953717,0.48831156,0.18501735,0.14346012
0.6174092,0.6250433,0.16912317,0.23937297,0.47125864,0.46344936,0.15555103,0.12765709
0.6195213,0.6250969,0.17017613,0.24091327,0.44886568,0.43170175,0.12818035,0.11208035
0.62163347,0.625068,0.1709175,0.24189153,0.46931082,0.4609115,0.14802754,0.12150976
0.6237456,0.6249534,0.17121218,0.24270831,0.50685674,0.5127305,0.21851717,0.16117796
0.6258578,0.62449265,0.17084476,0.24352272,0.5296225,0.545418,0.3224476,0.23717858
0.6279699,0.62394506,0.16372113,0.24465765,0.5366829,0.5572917,0.40810835,0.31676856
0.630082,0.62456435,0.166362,0.24545076,0.545095,0.56623316,0.46702507,0.3797481
0.63219416,0.6243706,0.16965595,0.24622741,0.547328,0.5698515,0.49066907,0.40743682
0.6343063,0.6248535,0.17109838,0.24700509,0.54726756,0.56889564,0.48746666,0.40669817
0.63641846,0.6250987,0.17193037,0.24777792,0.54403865,0.56791264,0.4690151,0.38766426
0.6385306,0.62538666,0.17278294,0.24854659,0.54412854,0.57053673,0.45045325,0.36089206
0.64064276,0.6255842,0.17352612,0.24945158,0.5409641,0.5679793,0.4217092,0.3290878
0.64275485,0.625646,0.17364697,0.25066835,0.5287579,0.56201786,0.39032596,0.29816788
0.644867,0.6245771,0.17290226,0.2518812,0.50253403,0.55616903,0.40491876,0.3120335
0.64697915,0.6218369,0.16815908,0.25308335,0.51267666,0.5634363,0.40458637,0.30891037
0.6490913,0.6233959,0.16802466,0.2553456,0.5159641,0.560661,0.37208614,0.27683276
0.6512034,0.6240659,0.17011546,0.25668928,0.52412045,0.5650094,0.35771534,0.26331192
0.65331554,0.6249223,0.17287067,0.25809592,0.5334556,0.5695444,0.34666064,0.2523917
0.6554277,0.62401074,0.17157744,0.2593024,0.5325032,0.5652338,0.30800146,0.21913992
0.65753984,0.62404406,0.1736455,0.26054466,0.52947813,0.559964,0.28430447,0.1993954
0.659652,0.6254607,0.17562866,0.26209822,0.5273639,0.55786496,0.26669207,0.18439603
0.66176414,0.62620753,0.17516913,0.2633028,0.5269486,0.5542462,0.2530659,0.17457633
0.66387624,0.626684,0.17532259,0.26450306,0.5241286,0.5487642,0.23399514,0.16094755
0.6659884,0.6270638,0.17581104,0.26570198,0.5208348,0.5425191,0.21053523,0.14535102
0.66810054,0.6274041,0.17626122,0.26689574,0.5204302,0.5446777,0.20967937,0.14442852
0.6702127,0.6276424,0.17675412,0.2685075,0.52770144,0.5552736,0.23814721,0.16292432
0.67232484,0.62779,0.17744502,0.2693646,0.53718,0.5724055,0.29046434,0.20183405
0.6744369,0.6279072,0.17784968,0.27003938,0.54256606,0.5847676,0.3458227,0.24960272
0.6765491,0.6279819,0.1782731,0.2704629,0.54847825,0.5955845,0.4050307,0.3066425
0.6786612,0.62800956,0.17835434,0.27088094,0.5475898,0.59537756,0.4151405,0.31658337
0.6807734,0.6280042,0.17863715,0.27129567,0.5422867,0.5853133,0.3360993,0.23933274
0.6828855,0.6279716,0.179396,0.27170938,0.53349245,0.57385665,0.28012833,0.19174218
0.6849977,0.6279548,0.17918341,0.27211976,0.5368953,0.5808482,0.30058247,0.2091377
0.68710977,0.62783027,0.14066204,0.27232346,0.53219223,0.58560133,0.32492155,0.2268947
0.6892219,0.62734663,0.1470505,0.27281007,0.54096586,0.59277135,0.3405005,0.24241023
0.69133407,0.6242863,0.15983234,0.2733321,0.53853077,0.59130543,0.35423785,0.25743732
0.6934462,0.61927015,0.1649012,0.27372366,0.52908444,0.58669204,0.34802228,0.25122228
0.6955583,0.62140954,0.1693475,0.2740696,0.52455026,0.5810693,0.2968537,0.20448689
0.69767046,0.6248255,0.1777867,0.2746918,0.51725453,0.56428236,0.22853003,0.15265335
0.6997826,0.6220737,0.17175508,0.27507848,0.4964627,0.53769964,0.1702383,0.11664955
0.7005655,0.6217918,0.17261997,0.27521157,0.48789993,0.5282482,0.15487914,0.10863095
0.7031765,0.62170184,0.1770209,0.2756921,0.48450667,0.5164127,0.13530675,0.09760631
0.7057875,0.62181324,0.18035787,0.27615672,0.49274358,0.54036206,0.16963668,0.11560894
0.70839846,0.6223676,0.1846479,0.27662483,0.5041927,0.5564885,0.20466961,0.13598001
0.71100944,0.62219703,0.18712816,0.2770849,0.51316655,0.57039493,0.24301308,0.161804
0.7136204,0.62059754,0.18857193,0.2775406,0.516749,0.5744368,0.2489031,0.1655439
0.7162314,0.6119151,0.1752055,0.27799425,0.48257476,0.5272932,0.15388508,0.10666408
0.7188424,0.60609025,0.15173624,0.27791217,0.4101674,0.4252144,0.07318207,0.06695163
0.72145337,0.6129417,0.17061208,0.27888417,0.35197246,0.3644191,0.05983985,0.05949323
0.7240644,0.6089322,0.16533737,0.27932033,0.28855452,0.30974618,0.054258518,0.05477462
0.7266754,0.6095281,0.16133389,0.27945092,0.22974297,0.22872634,0.044862293,0.044655763
0.7292864,0.6096415,0.16910976,0.2800603,0.25880697,0.2657854,0.04800797,0.048572753
0.73189735,0.61080515,0.1791876,0.28068823,0.33309615,0.35222444,0.055220403,0.055497374
0.73450834,0.61420494,0.19445126,0.28111735,0.3933518,0.42422274,0.06903953,0.063433304
0.7371193,0.6154884,0.19776306,0.28143737,0.4494669,0.4852907,0.09495112,0.07423607
0.7397303,0.6174485,0.2054339,0.28182855,0.4943985,0.54901063,0.16756068,0.1102364
0.7423413,0.61945444,0.21169941,0.2821789,0.5134615,0.5821304,0.256495,0.17118847
0.74495226,0.62086535,0.21524012,0.28252462,0.5231806,0.5954619,0.30996192,0.21611416
