wavelength,solar_flux,p_titan,p_uranus,p_neptune
8550,92.7,201,49,44
8560,97.2,193,43,44
8570,98.9,178,36,39
8580,98.3,173,32,37
8590,97.7,168,31,34
8600,96.8,160,29,33
8610,96.3,146,27,32
8620,96.8,146,25,29
8630,97.5,148,26,30
8640,97.4,145,24,28
8650,93.6,147,24,29
8660,77.7,157,26,30
8670,90.7,155,26,31
8680,93.8,162,28,32
8690,92.9,171,31,33
8700,94.4,173,32,36
8710,93.3,178,36,40
8720,94.7,181,39,40
8730,93.5,189,43,39
8740,92.6,186,41,40
8750,91.6,189,43,43
8760,92.5,184,40,39
8770,92.1,184,39,39
8780,93.3,178,35,37
8790,92.0,164,32,35
8800,92.0,142,26,32
8810,89.7,123,24,29
8820,92.7,100,20,23
8830,93.3,93,17,16
8840,91.7,102,16,15
8850,91.2,106,17,17
8860,88.6,99,16,15
8870,88.0,82,15,15
8880,89.1,88,17,19
8890,90.3,94,17,16
8900,90.6,94,16,17
8910,90.4,93,17,19
8920,90.0,97,18,19
8930,88.6,94,17,17
8940,90.9,88,17,16
8950,88.8,91,17,17
8960,88.7,93,16,17
8970,88.5,104,17,18
8980,88.4,108,16,17
8990,88.3,106,18,19
9000,88.1,111,18,23
9010,88.0,118,19,23
9020,87.8,128,21,23
9030,87.7,134,22,28
9040,87.6,143,24,29
9050,87.4,149,26,30
9060,87.3,163,28,32
9070,87.1,169,33,37
9080,87.0,172,37,34
9090,86.9,187,46,37
9100,86.7,185,48,38
9110,86.6,179,41,37
9120,86.4,176,39,35
9130,86.3,173,35,33
9140,86.2,180,42,33
9150,86.0,177,43,37
9160,85.9,181,42,36
9170,85.8,186,55,41
9180,85.6,199,71,44
9190,85.5,194,72,42
9200,85.4,207,79,43
9220,85.1,216,107,51
9230,85.0,223,119,56
9240,84.8,234,133,60
9250,84.7,245,159,69
9260,84.6,232,147,68
9270,84.4,256,173,78
9280,84.3,261,187,81
9290,84.2,271,213,97
9300,84.0,269,212,98
9310,83.9,286,241,116
9320,83.8,275,239,116
9330,83.6,273,250,124
9340,83.5,289,276,141
9350,83.4,309,297,156
9360,83.3,305,302,158
9370,83.1,299,308,169
9380,83.0,310,323,166
9390,82.9,315,320,177
9400,82.8,313,300,163
9410,82.6,307,270,139
9420,82.5,286,242,118
9430,82.4,262,211,92
9440,82.2,251,197,91
9450,82.1,241,174,74
9460,82.0,240,149,60
9470,81.9,214,114,45
9480,81.7,204,111,48
9490,81.6,211,137,63
9500,81.5,221,120,61
9510,81.4,199,88,41
9520,81.2,181,97,45
9530,81.1,217,123,51
9540,81.0,213,124,57
9550,80.9,199,103,45
9560,80.8,195,89,42
9570,80.6,186,74,28
9580,80.5,188,82,38
9590,80.4,176,66,37
9600,80.3,173,56,32
9610,80.1,163,40,27
9620,80.0,155,31,26
9630,79.9,137,24,20
9640,79.8,131,22,21
9660,79.6,115,18,19
9670,79.4,122,17,17
9680,79.3,116,16,21
9690,79.2,118,17,15
9700,79.1,109,16,11
9710,79.0,107,15,17
9720,78.8,107,15,17
9730,78.7,115,15,8
9740,78.6,112,16,16
9750,78.5,114,18,17
9760,78.4,113,18,22
9770,78.3,113,19,19
9780,78.1,116,20,16
9790,78.0,106,20,19
9800,77.9,110,18,17
9810,77.8,106,17,10
9820,77.7,106,15,12
9830,77.6,95,13,6
9840,77.5,87,12,10
9850,77.3,99,14,12
9860,77.2,86,13,13
9870,77.1,93,12,7
9880,77.0,72,11,8
9890,76.9,72,12,10
9900,76.8,75,13,7
9910,77.1,71,11,5
9920,77.2,82,12,12
9930,75.9,81,13,11
9940,76.6,84,13,7
9950,76.6,71,13,12
9960,74.7,79,12,1
9970,74.4,82,13,13
9980,73.9,75,13,7
9990,74.5,75,13,5
10000,76.0,84,14,13
10010,77.2,88,14,10
10020,75.2,82,16,2
10030,75.1,83,14,14
10040,75.0,80,16,4
10050,71.6,72,10,2
10060,76.4,72,11,0
10070,77.8,72,11,3
10080,77.0,73,11,0
10090,77.9,56,11,5
10100,76.2,58,10,10
10110,76.1,59,8,7
10120,76.0,71,9,6
10130,75.8,54,10,17
10140,75.7,65,10,5
10150,75.6,67,10,0
10160,75.4,68,12,3
10170,75.3,90,9,0
10180,75.2,74,12,4
10190,75.0,70,9,5
10200,74.9,75,15,1
10210,74.8,87,15,8
10220,74.7,75,12,9
10230,74.5,95,13,0
10240,74.4,51,12,6
10250,74.3,79,13,11
10260,74.1,66,12,6
10270,74.0,109,18,10
10280,73.9,102,15,20
10290,73.8,49,10,2
10300,73.6,88,17,5
10310,73.5,72,19,0
10320,73.4,88,14,33
10330,73.3,74,15,13
10340,73.1,39,18,0
10350,73.0,92,18,0
10360,72.9,55,25,2
10370,72.8,104,3,1
10380,72.7,98,19,9
10390,72.5,71,18,0
10400,72.4,87,36,6
10410,72.3,97,27,0
10420,72.2,105,38,0
10430,73.3,45,47,23
10440,83.9,116,47,0
10450,80.0,188,52,7
10460,76.9,99,67,0
10470,78.9,99,52,51
10480,78.6,105,66,0
10490,84.1,112,77,6
10500,97.2,59,72,25
10510,97.5,162,89,0
